brand,style,menWomen,name,link,brandSize,waistSize,fabric,price,maxHeightFront,minHeightFront,rivetHeightFront,maxWidthFront,minWidthFront,maxHeightBack,minHeightBack,maxWidthBack,minWidthBack,heightBack,widthBack
Guess,straight,men,Regular Straight,https://shop.guess.com/en/catalog/view/denim/men/view-all/regular-straight-jeans/mb1ar4d1kd0,32x34,32,"91% cotton, 7% polyester, 2% elastane",98,25.5,17,8.7,17.5,13,16,14.5,14,11.5,,
Calvin Klein,skinny,women,Skinny Mid-rise,https://www.calvinklein.us/en/womens-clothing/womens-jeans/skinny-fit-mid-rise-light-blue-jeans-18536356,30x30,30,"95% cotton, 3% polyester, 2% elastane",98,13.5,13.5,6,14,12,13.5,11.5,13,10.7,,
Calvin Klein,straight,women,Straight Mid-rise,https://www.calvinklein.us/en/womens-clothing/womens-jeans/straight-fit-mid-rise-vintage-wash-jeans-18536670,30x32,30,"98% cotton, 2% elastane",148,13.5,13.5,6.5,16,12,14.2,11.5,13,11.2,,
Calvin Klein,skinny,men,Skinny,https://www.calvinklein.us/en/mens-clothing/mens-jeans/skinny-fit-blue-destroyed-jeans-25095053,32x34,32,"98% cotton, 2% spandex",89.5,22,14.5,6,15,13.5,16.5,13.5,14.2,11.5,,
Calvin Klein,straight,men,Straight,https://www.calvinklein.us/en/mens-clothing/mens-jeans/straight-leg-silver-bullet-light-wash-jeans-25024127,32x32,32,"98% cotton, 2% elastane",69.5,21.5,20.5,6,18,13.5,17,14.5,15.5,12.5,,
Levi's,skinny,women,711 Skinny,https://www.levi.com/US/en_US/clothing/women/jeans/711-skinny-jeans/p/188810208,10/30x30,30,"60% cotton, 22% viscose, 16% polyester, 2% elastane",59.5,12.7,12.7,7,14.5,12,14.5,12,11.5,10,,
Levi's,boot-cut,women,715 Vintage Bootcut,https://www.levi.com/US/en_US/clothing/women/jeans/715-vintage-boot-cut-jeans/p/363120000,10/30x32,30,"92% cotton, 6% elastomultiester, 2% elastane",59.5,11.5,11.5,6.5,15.7,13.5,14.5,11.5,12,10.5,,
Levi's,skinny,men,510 Skinny,https://www.levi.com/US/en_US/clothing/men/jeans/510-skinny-fit-jeans/p/055100654,32x30,32,"99% cotton, 1% elastane ",69.5,25.5,19,7.5,14.5,13,16.5,15,13,11.5,,
Levi's,straight,men,569 Loose Straight,https://www.levi.com/US/en_US/clothing/men/jeans/569-loose-straight-jeans/p/005690132,32x32,32,100% Cotton,59.5,26,17.5,9,16.5,11.5,15,12.5,13.2,11.7,,
Uniqlo,skinny,women,Skinny Ultra Stretch,https://www.uniqlo.com/us/en/women-ultra-stretch-jeans-409941.html?dwvar_409941_color=COL66&cgid=women-jeans#start=7&cgid=women-jeans,30,30,"87% cotton, 9% polyester, 4% spandex",39.9,13,13,6,13.5,12,13.5,11.5,12.5,10.5,,
Uniqlo,straight,women,High-rise Straight,https://www.uniqlo.com/us/en/women-high-rise-straight-jeans-412201.html?dwvar_412201_color=COL67&cgid=women-jeans-high-rise-slim-fit#start=1&cgid=women-jeans-high-rise-slim-fit,30,30,"98% cotton, 2% spandex",39.9,15.5,15.5,7,15,12,14.5,12.5,12.2,11.5,,
Uniqlo,skinny,men,Skinny Ultra Stretch,https://www.uniqlo.com/us/en/men-ultra-stretch-skinny-fit-jeans-408490.html?dwvar_408490_color=COL64&cgid=men-jeans#start=3&cgid=men-jeans,32x34,32,"90% cotton, 8% polyester, 2% spandex",49.9,22.5,22.5,7,15.5,13,14.5,12,13,10.5,,
Uniqlo,regular,men,Regular,https://www.uniqlo.com/us/en/men-regular-fit-jeans-408488.html?dwvar_408488_size=INS028&cgid=men-jeans#regularfit=&start=41&cgid=men-jeans,32x34,32,100% cotton,49.9,21.5,21.5,7.5,16,13,15,12.5,14,11.5,,
Express,skinny,women,Mid Rise Stretch Skinny,https://www.express.com/clothing/women/mid-rise-medium-wash-stretch-skinny-jeans/pro/07207835/color/MEDIUM%20WASH,8R,30,"75% cotton, 24% polyester, 1% spandex",79.9,16.5,16.5,6.5,12.5,10.5,14,12,12.5,10.5,,
Express,boot-cut,women,Mid Rise Stretch Barely Boot,https://www.express.com/clothing/women/mid-rise-stretch-barely-boot-jeans/pro/07008254/cat1910070,8R,30,"94% cotton, 4% elastane, 2% spandex",79.9,15,15,6.5,13,11,13.2,11,13.5,12.2,,
Express,skinny,men,Super Skinny Stretch,https://www.express.com/clothing/men/super-skinny-medium-wash-stretch-jeans/pro/03326176/color/BLUE,32x32,32,"75% cotton, 24% polyester, 1% spandex",88,20.5,17,7,15.5,12.5,16,12.5,14,12,,
Express,boot-cut,men,Classic Boot Stretch,https://www.express.com/clothing/men/classic-boot-medium-wash-stretch-jeans/pro/02756041/cat2430021,32x32,32,"98% cotton, 2% spandex",79.9,21.5,16,7.5,16,13,16.2,13.5,13.5,12.7,,
